Order,Open,High,Low,Close,Volume
2079,522.59,522.711,522.56,522.69,8673
2080,522.97,522.97,522.6,522.6,14604
2081,523.02,523.02,522.97,522.97,1622
2082,522.9,523.02,522.9,523.02,2196
2083,522.96,522.99,522.88,522.88,7670
2084,523.04,523.05,522.9,522.95,3401
2085,523,523.07,523,523.04,2304
2086,522.86,522.99,522.83,522.96,3092
2087,522.99,522.99,522.86,522.86,593
2088,522.93,523.01,522.93,523.01,381
2089,522.94,522.94,522.89,522.93,1875
2090,522.92,522.97,522.91,522.91,233
2091,523.06,523.07,522.89,522.89,924
2092,523,523.15,523,523.08,1821
2093,522.84,523.04,522.83,523.02,16785
2094,522.79,522.85,522.72,522.85,5026
2095,522.85,522.87,522.82,522.82,291
2096,522.72,522.85,522.72,522.81,3604
2097,522.68,522.76,522.68,522.71,123
2098,522.68,522.74,522.68,522.74,1139
2099,522.56,522.66,522.56,522.63,216
2100,522.5,522.53,522.49,522.51,481
2101,522.51,522.53,522.44,522.53,325
2102,522.57,522.57,522.46,522.47,762
2103,522.44,522.58,522.44,522.55,369
2104,522.41,522.49,522.4,522.44,1975
2105,522.5,522.55,522.42,522.43,2249
2106,522.57,522.57,522.5,522.53,3279
2107,522.73,522.73,522.56,522.56,758
2108,522.89,522.89,522.76,522.76,664
2109,522.8,522.95,522.75,522.89,1050
2110,522.7,522.81,522.7,522.73,650
2111,522.87,522.87,522.66,522.71,335
2112,522.89,522.89,522.85,522.87,3137
2113,522.9,522.96,522.83,522.89,1499
2114,522.91,522.93,522.86,522.9,1773
2115,522.84,522.96,522.84,522.96,954
2116,522.85,522.91,522.74,522.82,2123
2117,522.7,522.9,522.68,522.85,1006
2118,522.68,522.72,522.63,522.71,347
2119,522.73,522.73,522.63,522.68,1289
2120,522.7,522.7,522.6,522.69,1770
2121,522.79,522.79,522.65,522.74,1199
2122,522.78,523.09,522.78,522.78,30679
2123,523.17,523.17,523.17,523.17,1956736
2124,522.425,522.46,522.4,522.43,10855
2125,522.47,522.49,522.37,522.4,3015
2126,522.51,522.54,522.47,522.51,2807
2127,522.5,522.54,522.49,522.5,2139
2128,522.49,522.51,522.47,522.5,1646
2129,522.6,522.63,522.51,522.53,4329
2130,522.6,522.63,522.59,522.63,4088
2131,522.54,522.6,522.53,522.6,5745
2132,522.53,522.58,522.5,522.54,2001
2133,522.46,522.56,522.46,522.53,1341
2134,522.53,522.53,522.445,522.465,1529
2135,522.45,522.54,522.4,522.51,4032
2136,522.47,522.47,522.39,522.45,4449
2137,522.42,522.5,522.38,522.445,10584
2138,522.48,522.52,522.37,522.405,6956
2139,522.53,522.56,522.48,522.5,3382
2140,522.63,522.64,522.52,522.52,2828
2141,523.17,523.17,522.56,522.65,1972673
2142,522.59,523.17,522.52,522.59,13918
2143,522.53,522.59,522.43,522.56,6682
2144,522.53,522.65,522.53,522.57,9442
2145,522.66,522.68,522.495,522.55,5681
2146,522.675,522.71,522.426,522.665,12652
2147,522.95,522.96,522.29,522.65,48727
2148,522.98,522.99,522.935,522.95,885
2149,522.95,522.99,522.83,522.97,1590
2150,522.88,522.95,522.81,522.95,3954
2151,523.059,523.06,522.67,522.88,26231
2152,523.03,523.07,523.02,523.06,7586
2153,523.01,523.17,523,523.03,99963
2154,523,523.03,522.98,523.03,11289
2155,523,523.01,522.99,523.01,12078
2156,522.99,523.01,522.97,523.01,10819
2157,523.01,523.01,522.96,522.98,7749
2158,523,523.03,522.95,523.01,6121
2159,522.9,523.04,522.85,522.995,27603
2160,523.061,523.17,522.91,522.91,196660
2161,523.27,523.28,523.06,523.08,705696
2162,523.23,523.28,522.898,523.26,103185
2163,523.19,523.33,518.423,523.24,393502
2164,523.36,523.37,523.19,523.2,208180
2165,523.265,523.4,523.265,523.33,85710
2166,523.285,523.33,523.22,523.26,18714
2167,523.3,523.35,523.17,523.28,195819
2168,523.29,523.46,523.17,523.3,404513
2169,523.17,523.48,518.585,523.28,10312160
2170,523.4,523.44,523.23,523.29,661051
2171,523.17,523.55,518.423,523.38,6491874
2172,522.8,523.2,522.14,523.17,7664896
2173,522.16,522.89,522.09,522.8,5323125
2174,522.39,522.53,522,522.15,4407432
2175,521.98,522.48,521.92,522.4,2349653
2176,521.05,522.06,521.049,521.98,2448610
2177,520.895,521.225,520.37,521.05,1933797
2178,520.52,521.05,520.329,520.9,1734989
2179,519.98,520.51,519.915,520.5,694692
2180,520.135,520.16,519.84,519.97,877088
2181,520.33,520.34,519.92,520.14,905532
2182,520.43,520.615,520.3,520.33,991011
2183,520.27,520.53,520.25,520.428,375248
2184,520.27,520.32,520.14,520.27,1080128
2185,520.36,520.4,520.205,520.265,328683
2186,520.54,520.63,520.28,520.37,722250
2187,520.455,520.61,520.41,520.545,307465
2188,520.605,520.61,520.44,520.46,383617
2189,520.84,520.98,520.59,520.61,539022
2190,520.705,520.91,520.7,520.84,384150
2191,520.61,520.82,520.6,520.7,942344
2192,520.353,520.715,520.294,520.61,533855
2193,520.16,520.355,520.05,520.355,283341
2194,520.09,520.21,520.02,520.156,362372
2195,520.18,520.27,520.08,520.1,229563
2196,520.13,520.28,520.13,520.175,156656
2197,520.29,520.3,520.094,520.13,192620
2198,520.28,520.38,520.24,520.29,161449
2199,520.24,520.355,520.12,520.27,206758
2200,520.33,520.39,520.185,520.245,205318
2201,520.33,520.435,520.28,520.335,439767
2202,520.33,520.42,520.22,520.325,204714
2203,520.32,520.44,520.225,520.33,262075
2204,520.07,520.33,520,520.31,213504
2205,519.96,520.08,519.73,520.08,396312
2206,520.27,520.275,519.92,519.95,599880
2207,520.31,520.5,520.17,520.27,444494
2208,520.41,520.426,520.285,520.31,264308
2209,520.41,520.44,520.28,520.41,209110
2210,520.22,520.48,520.22,520.41,261520
